Vivado Simulator 2016.4
Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module test.test.ram1.inst.native_mem_module.blk_mem_gen_v8_3_5_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_3_5 collision detected at time: 2772010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2797610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2823210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2848810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2874410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2900010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2925610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2951210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 2976810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3002410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3028010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3053610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3079210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3104810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3130410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3156010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3181610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3207210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3232810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3258410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3284010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3309610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3335210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3360810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3386410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3412010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3437610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3463210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3488810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3514410000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3540010000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3565610000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3591210000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3616810000, A write address: 10, B  read address: 10
blk_mem_gen_v8_3_5 collision detected at time: 3642410000, A write address: 10, B  read address: 10
